patient	well_fov	input_subparent_name	mask_subparent_name
NF0014_T2	F4-7	zstack_images	segmentation_masks
NF0014_T2	D10-6	zstack_images	segmentation_masks
NF0014_T2	G2-4	zstack_images	segmentation_masks
NF0014_T2	D4-2	zstack_images	segmentation_masks
NF0014_T2	D8-1	zstack_images	segmentation_masks
NF0014_T2	F7-1	zstack_images	segmentation_masks
NF0014_T2	E10-7	zstack_images	segmentation_masks
NF0014_T2	F5-5	zstack_images	segmentation_masks
NF0014_T2	D2-1	zstack_images	segmentation_masks
NF0014_T2	G4-7	zstack_images	segmentation_masks
NF0014_T2	F6-6	zstack_images	segmentation_masks
NF0014_T2	C7-7	zstack_images	segmentation_masks
NF0014_T2	F11-5	zstack_images	segmentation_masks
NF0014_T2	C9-3	zstack_images	segmentation_masks
NF0014_T2	D7-4	zstack_images	segmentation_masks
NF0014_T2	E11-4	zstack_images	segmentation_masks
NF0014_T2	C8-7	zstack_images	segmentation_masks
NF0014_T2	G9-3	zstack_images	segmentation_masks
NF0014_T2	D8-4	zstack_images	segmentation_masks
NF0014_T2	F5-3	zstack_images	segmentation_masks
NF0014_T2	C11-2	zstack_images	segmentation_masks
NF0014_T2	D5-3	zstack_images	segmentation_masks
NF0014_T2	D11-3	zstack_images	segmentation_masks
NF0014_T2	C2-3	zstack_images	segmentation_masks
NF0014_T2	F3-6	zstack_images	segmentation_masks
NF0014_T2	C8-4	zstack_images	segmentation_masks
NF0016_T1	E5-2	zstack_images	segmentation_masks
NF0016_T1	D5-2	zstack_images	segmentation_masks
NF0016_T1	G6-1	zstack_images	segmentation_masks
NF0016_T1	G8-1	zstack_images	segmentation_masks
NF0016_T1	C9-2	zstack_images	segmentation_masks
NF0016_T1	F4-2	zstack_images	segmentation_masks
NF0016_T1	D9-1	zstack_images	segmentation_masks
NF0016_T1	E2-2	zstack_images	segmentation_masks
NF0016_T1	C5-2	zstack_images	segmentation_masks
NF0016_T1	E10-2	zstack_images	segmentation_masks
NF0016_T1	C6-1	zstack_images	segmentation_masks
NF0016_T1	E6-3	zstack_images	segmentation_masks
NF0016_T1	D3-1	zstack_images	segmentation_masks
NF0016_T1	G9-1	zstack_images	segmentation_masks
NF0016_T1	F11-2	zstack_images	segmentation_masks
NF0016_T1	C3-2	zstack_images	segmentation_masks
NF0016_T1	C4-3	zstack_images	segmentation_masks
NF0016_T1	E3-1	zstack_images	segmentation_masks
NF0016_T1	E9-3	zstack_images	segmentation_masks
NF0016_T1	D2-2	zstack_images	segmentation_masks
NF0016_T1	G6-2	zstack_images	segmentation_masks
NF0016_T1	E6-2	zstack_images	segmentation_masks
NF0016_T1	F2-1	zstack_images	segmentation_masks
NF0016_T1	F3-2	zstack_images	segmentation_masks
